Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
Weboldal loading spinner,MK-27,10145,Task,Review,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Low,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Loading spinner hozzáadása az oldal elején, amíg minden tartalom betöltődik",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000u1:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Kapcsolat oldali reCAPTCHA integráció,MK-26,10150,Task,In Progress,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Frontend,,Google reCAPTCHA hozzáadása a kapcsolat oldali űrlaphoz a spam védelem érdekében,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000r0:i,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Oldalsáv fejlesztése,MK-25,10130,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,Oldalsáv komponens létrehozása a könnyebb navigáció érdekében,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000px:,,,,,,,,,,,,,,To Do,
Dark mode implementálása,MK-24,10144,Story,Review,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Frontend,,Dark mode beállítása és kapcsoló gomb létrehozása a felhasználói felületen,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000u3:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Projektkártya animációk,MK-23,10149,Task,Final Approval,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Frontend,,Animációs effektusok hozzáadása a portfólió projektkártyák hover eseményeihez,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000u5:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Social media linkek hozzáadása,MK-22,10143,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Low,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Social media ikonok elhelyezése és linkek hozzáadása (pl. LinkedIn, GitHub)",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000st:,,,,,,,,,,,,,,To Do,
Footer létrehozása,MK-21,10121,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Footer szekció létrehozása, amely tartalmazza az elérhetőségeket és social media linkeket",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000nx:,,,,,,,,,,,,,,To Do,
Deployment pipeline beállítása,MK-20,10129,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Deployment,,"CI/CD pipeline beállítása, automatikus deployment a szerverre",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000pp:,,,,,,,,,,,,,,To Do,
Élesítés előtti tesztelés,MK-19,10142,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Testing,,"Az oldal végső tesztelése, hibák javítása, élesítés előtti utolsó ellenőrzések",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000sl:,,,,,,,,,,,,,,To Do,
SEO alapok hozzáadása,MK-18,10141,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Low,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,SEO,,"Meta címkék, leírások és kulcsszavak hozzáadása az oldalakhoz a jobb keresőoptimalizálás érdekében",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000sd:,,,,,,,,,,,,,,To Do,
